Ensembl,logFC,FDR,SYMBOL
ENSG00000105127,-0.187633342,0.10333306,AKAP8
ENSG00000011243,0.326827109,0.005331336,AKAP8L
ENSG00000127914,-0.740055182,4.87E-05,AKAP9
ENSG00000166452,0.004976235,0.975932425,AKIP1
ENSG00000174574,0.523949221,1.30E-05,AKIRIN1
ENSG00000135334,-0.798490626,9.68E-07,AKIRIN2
ENSG00000106948,0.22269811,0.070248124,AKNA
ENSG00000162641,-1.341716571,1.01E-07,AKNAD1
ENSG00000117448,0.374766406,0.001032538,AKR1A1
ENSG00000085662,-0.314699121,0.018293624,AKR1B1
ENSG00000187134,-1.108478046,4.13E-13,AKR1C1
ENSG00000151632,-1.288168703,1.16E-08,AKR1C2
ENSG00000196139,0.549548631,0.042138955,AKR1C3
ENSG00000053371,0.740806219,2.97E-07,AKR7A2
ENSG00000162482,-0.190975834,0.500615132,AKR7A3
ENSG00000142208,0.069757553,0.560688655,AKT1
ENSG00000204673,-0.20639877,0.206145467,AKT1S1
ENSG00000105221,0.157801136,0.16371826,AKT2
ENSG00000117020,-0.233153641,0.109944101,AKT3
ENSG00000166971,0.450304337,5.38E-05,AKTIP
ENSG00000261732,-0.477915497,0.070558649,AL031708.1
ENSG00000282988,-1.165860111,6.66E-06,AL031777.2
ENSG00000285976,0.219032287,0.401519588,AL135905.2
ENSG00000148218,0.229546714,0.066681509,ALAD
ENSG00000023330,0.179056585,0.104894073,ALAS1
ENSG00000170017,-0.420369977,0.000143069,ALCAM
ENSG00000161618,0.057446816,0.751129644,ALDH16A1
ENSG00000059573,0.082933447,0.495423628,ALDH18A1
ENSG00000137124,-0.412049004,0.000422924,ALDH1B1
ENSG00000144908,2.14944268,2.41E-13,ALDH1L1
ENSG00000136010,0.447464349,0.007092353,ALDH1L2
ENSG00000111275,0.489717914,0.000333121,ALDH2
ENSG00000072210,0.62983749,1.46E-07,ALDH3A2
ENSG00000006534,1.133635778,6.66E-06,ALDH3B1
ENSG00000159423,1.517496792,4.39E-11,ALDH4A1
ENSG00000112294,-0.005284069,0.970554158,ALDH5A1
ENSG00000119711,0.67637745,1.12E-06,ALDH6A1
ENSG00000164904,0.171224779,0.270160075,ALDH7A1
ENSG00000118514,-1.502006952,2.21E-11,ALDH8A1
ENSG00000143149,1.101755121,2.90E-11,ALDH9A1
ENSG00000149925,0.378473807,0.090471452,ALDOA
ENSG00000109107,0.587062639,0.000340965,ALDOC
ENSG00000033011,0.315074903,0.042548971,ALG1
ENSG00000139133,-0.355258811,0.026157066,ALG10
ENSG00000175548,-0.55165246,5.15E-06,ALG10B
ENSG00000253710,0.05345655,0.687499633,ALG11
ENSG00000182858,0.380475918,0.001678543,ALG12
ENSG00000101901,0.238699459,0.054154158,ALG13
ENSG00000172339,0.474560331,0.004124174,ALG14
ENSG00000119523,0.574431548,2.37E-05,ALG2
ENSG00000214160,0.616312451,0.000111545,ALG3
ENSG00000120697,0.297405327,0.03638185,ALG5
ENSG00000088035,-0.265871314,0.090830057,ALG6
ENSG00000159063,0.481586376,0.000113006,ALG8
ENSG00000086848,-0.699048045,1.51E-05,ALG9
ENSG00000171094,-1.192468792,5.96E-05,ALK
ENSG00000189292,1.851729777,1.09E-07,ALKAL2
ENSG00000100601,-0.037830239,0.815685685,ALKBH1
ENSG00000189046,-0.02526077,0.87943871,ALKBH2
ENSG00000166199,-0.050522696,0.731238288,ALKBH3
ENSG00000160993,0.165778245,0.275019748,ALKBH4
ENSG00000091542,0.127750331,0.31492911,ALKBH5
ENSG00000239382,0.013445823,0.959636651,ALKBH6
ENSG00000125652,0.4467105,9.66E-05,ALKBH7
ENSG00000137760,0.046386198,0.741093126,ALKBH8
ENSG00000116127,-0.112981943,0.447847018,ALMS1
ENSG00000073331,0.092780681,0.750773339,ALPK1
ENSG00000198796,6.956973785,4.97E-168,ALPK2
ENSG00000136383,-0.39123219,0.161565175,ALPK3
ENSG00000162551,-0.661169158,0.010126332,ALPL
ENSG00000003393,0.217998883,0.0434865,ALS2
ENSG00000178038,0.474279094,0.088523786,ALS2CL
ENSG00000183684,-0.142730219,0.293620483,ALYREF
ENSG00000242110,-0.583501262,0.004911591,AMACR
ENSG00000178522,-8.558263528,9.69E-51,AMBN
ENSG00000110497,-0.349539492,0.000658047,AMBRA1
ENSG00000162066,0.693009909,7.29E-05,AMDHD2
ENSG00000184675,-0.435668725,0.004983925,AMER1
ENSG00000165566,-1.434431531,4.30E-12,AMER2
ENSG00000178171,-2.085319744,4.82E-19,AMER3
ENSG00000159461,0.768591021,8.06E-08,AMFR
ENSG00000104899,0.04495308,0.792863456,AMH
ENSG00000181754,-0.522328423,0.000109974,AMIGO1
ENSG00000139211,1.971363542,1.62E-36,AMIGO2
ENSG00000101935,-0.784143775,4.04E-08,AMMECR1
ENSG00000144233,0.128986766,0.301564197,AMMECR1L
ENSG00000151743,-0.290220795,0.026287799,AMN1
ENSG00000126016,0.12859728,0.464077905,AMOT
ENSG00000166025,-0.165579677,0.177264526,AMOTL1
ENSG00000114019,-0.266212339,0.039346469,AMOTL2
ENSG00000116337,-0.138374631,0.295954427,AMPD2
ENSG00000078053,-0.103553882,0.469230378,AMPH
ENSG00000240038,-0.717761451,0.00026077,AMY2B
ENSG00000196704,0.268948019,0.010331255,AMZ2
ENSG00000153107,-0.1283836,0.253740905,ANAPC1
ENSG00000164162,0.188764789,0.373431554,ANAPC10
ENSG00000141552,0.233552683,0.11829893,ANAPC11
ENSG00000129055,0.280297481,0.025063766,ANAPC13
ENSG00000110200,-0.545164263,1.45E-05,ANAPC15
ENSG00000166295,0.399202223,0.000675026,ANAPC16
ENSG00000176248,-0.229989175,0.131207536,ANAPC2
ENSG00000053900,0.005964415,0.962382863,ANAPC4
ENSG00000089053,0.126436096,0.312584157,ANAPC5
ENSG00000196510,-0.023699251,0.854119655,ANAPC7
ENSG00000013523,0.033348044,0.813265999,ANGEL1
ENSG00000174606,0.051992485,0.672982265,ANGEL2
ENSG00000154188,3.43290065,1.15E-73,ANGPT1
ENSG00000116194,-0.351980129,0.21086207,ANGPTL1
ENSG00000136859,1.202875593,1.70E-13,ANGPTL2
ENSG00000167772,5.173437959,9.06E-55,ANGPTL4
ENSG00000029534,-0.280522821,0.273904575,ANK1
ENSG00000145362,0.347174266,0.008380734,ANK2
ENSG00000151150,-1.228823518,7.34E-08,ANK3
ENSG00000151687,-0.666236749,0.000217678,ANKAR
ENSG00000166839,-0.201597011,0.328473105,ANKDD1A
ENSG00000189045,0.85140292,0.001750802,ANKDD1B
ENSG00000132623,-0.17724478,0.335700853,ANKEF1
ENSG00000153930,0.770524732,1.07E-06,ANKFN1
ENSG00000185722,-0.026044755,0.876623557,ANKFY1
ENSG00000154122,0.035667324,0.80299262,ANKH
ENSG00000131503,-0.077083884,0.745422609,ANKHD1
ENSG00000254996,-0.179054023,0.551283623,ANKHD1-EIF4EBP3
ENSG00000001629,0.145432037,0.20373209,ANKIB1
ENSG00000160117,-0.349119385,0.120474375,ANKLE1
ENSG00000176915,-0.234627188,0.027938447,ANKLE2
ENSG00000144504,0.072779048,0.681956605,ANKMY1
